Shoulder_Pan,Shoulder_Lift,Elbow,Wrist_1,Wrist_2,Wrist_3,TCP_X,TCP_Y,TCP_Z,Orientation_X,Orientation_Y,Orientation_Z
1.0649,-0.350537,1.1333,2.30588,1.67651,-1.3291,0.230282,0.640926,0.0529899,-0.245321,0.0483287,0.968236
-1.3999,-0.425791,2.61382,2.34309,2.34064,2.83766,0.150608,-0.230875,-0.0381085,-0.704832,0.0555891,-0.707193
-2.5211,0.310787,2.84201,0.467821,0.774078,-2.51323,0.0178695,-0.121387,0.0475829,-0.131577,0.601068,0.788292
-1.006,-0.607991,1.0516,-1.5287,-2.57573,0.210084,0.513344,-0.606208,0.119389,-0.335349,-0.450418,0.827445
-1.51457,-2.12692,-1.28971,1.02329,2.95996,1.6003,0.0787752,0.542753,0.412952,-0.0423408,0.65745,-0.752308
-3.06235,0.309941,-0.576523,-1.93649,1.77861,-2.02139,-0.848159,-0.176847,0.118802,-0.810561,0.363102,0.459508
1.43192,-0.25982,-2.4315,-0.0147604,2.58879,-2.82566,-0.0946002,0.111684,0.454872,0.613954,0.787091,-0.0595699
-0.354681,-0.341746,1.11608,2.36567,-0.774897,1.24426,0.676225,-0.13404,0.0519625,0.13839,-0.290569,-0.946794
-0.437548,0.309982,-2.21195,0.310894,-0.82874,0.753131,0.383054,-0.0586861,0.332371,-0.838163,-0.201581,-0.506801
-2.40695,-0.935194,-0.331701,2.27317,-1.85475,-0.614227,-0.141827,-0.275203,0.754799,-0.255441,0.826427,-0.501765
-0.725396,-0.708548,2.55116,-3.14157,2.12129,2.90107,0.303295,-0.123043,-0.0375419,-0.822904,-0.376608,-0.425435
2.23903,-1.6816,-2.13986,-2.61789,-3.03438,2.46084,0.123323,-0.332388,0.171451,0.468284,-0.727428,0.501556
0.142071,0.310032,-1.41187,-0.0820302,3.09305,1.1893,0.647469,0.202871,0.273683,-0.714486,-0.083945,0.694595
-2.59992,-0.906492,-3.1119,0.121387,1.01916,0.0114561,0.102341,-0.0658066,0.191164,0.105445,-0.930441,0.350944
-1.6932,0.310219,-2.46249,2.1279,-2.0466,-1.14054,0.0849423,-0.203468,0.192584,-0.394022,-0.166274,-0.903936
-1.62289,0.309736,-1.02217,-2.2049,0.0174128,-2.60473,0.0713723,-0.727371,0.308302,0.0227537,0.723735,0.689703
-1.73279,0.310035,-1.74618,1.86305,1.48816,3.10178,0.0402704,-0.430335,0.262039,-0.997527,0.0702537,0.00207789
-1.46981,-0.643857,2.12741,-3.14159,0.775058,2.001,0.155812,-0.454988,-0.0382307,-0.384245,0.89722,0.217608
-1.02417,-0.675438,1.64864,-1.60116,0.959412,1.37951,0.409285,-0.462658,-0.0459782,-0.212724,0.649096,0.730358
-1.05802,0.0301764,0.0517508,0.753355,1.32183,2.91769,0.46088,-0.596122,-0.0192711,-0.663581,-0.747535,-0.0291654
0.852015,-2.16528,0.419585,-0.962133,1.2253,-1.62725,-0.257637,-0.128708,0.913394,0.304841,0.267802,0.913977
0.973821,0.0232104,0.289588,1.87578,-1.13928,2.60452,0.315005,0.65761,0.0134157,-0.528029,0.611497,-0.589286
1.40347,-0.440565,-2.59726,-2.75791,0.94716,-1.9271,-0.115962,-0.0311775,0.227406,0.236067,-0.302526,-0.923445
2.01857,0.309891,-0.596556,1.97256,0.192329,-2.94224,-0.395823,0.57199,0.0813336,0.301901,-0.195808,-0.933014
1.97542,0.310253,-0.445976,2.71817,-2.10777,-2.93841,-0.392891,0.640166,0.0927165,-0.898685,-0.0392901,0.436832
1.87134,0.310006,-1.60525,2.42944,-3.07633,-0.340405,-0.230278,0.374298,0.296936,0.0305367,0.10913,-0.993558
1.80992,-2.38655,-2.93466,2.35184,-1.55539,1.10178,-0.0897126,-0.0928433,0.151899,0.473679,-0.0348092,-0.88001
