Shoulder_Pan,Shoulder_Lift,Elbow,Wrist_1,Wrist_2,Wrist_3,TCP_X,TCP_Y,TCP_Z,Orientation_X,Orientation_Y,Orientation_Z
1.00996,0.0728081,2.81337,0.170114,-2.30255,-0.41736,-0.0731292,0.0887832,0.0534491,0.233871,-0.906375,0.351837
-1.3781,-1.04292,-1.42123,0.580295,-2.84499,-2.32344,0.10684,0.022389,0.731319,0.367632,-0.840899,-0.397159
-0.271788,0.0483327,0.230176,-2.59077,-0.846573,0.518271,0.868755,-0.128799,0.0247109,-0.152156,-0.633042,-0.759017
2.0837,-1.35118,-2.34626,-2.47888,-0.802249,2.51098,0.0279176,-0.272006,0.202866,-0.810711,0.256246,0.526389
2.48243,-0.490983,1.54623,-2.7572,1.57175,-0.792034,-0.590176,0.319172,-0.0393443,-0.987955,-0.123111,0.0937501
2.02029,0.310216,-0.643605,1.09145,-1.47804,-3.06037,-0.406936,0.592311,0.0190526,-0.898729,-0.421079,-0.122386
-1.56523,-0.324814,3.00239,-2.33639,1.71599,-2.60785,0.109261,-0.0197242,-0.0399534,-0.853439,0.282865,-0.437755
1.07218,-0.867215,2.72447,-1.14041,0.694028,2.90098,-0.0471129,0.141723,-0.0343875,0.889583,0.334709,-0.310824
1.5035,-1.18623,-0.146939,-1.72881,1.65606,0.404646,-0.0914656,0.266054,0.958696,-0.921182,-0.0475057,-0.386221
1.05593,0.309873,-1.2609,2.45726,2.93485,0.856347,0.169992,0.522126,0.272749,0.274539,0.758381,-0.591174
-3.03026,-0.123888,-3.06854,3.14165,0.434349,2.33807,-0.0224617,-0.112341,0.0272174,-0.621159,0.224503,0.750839
-1.07659,-0.671221,2.32644,2.19163,1.93852,3.05224,0.267361,-0.266103,0.0347025,-0.716334,-0.62995,-0.300048
0.0260632,-0.394826,2.95592,0.38644,-1.54232,-2.20837,0.0431941,0.110313,0.130382,-0.187037,0.590334,0.78519
-2.15369,-1.90265,-2.48686,1.25157,2.44789,2.2996,0.23566,0.159141,0.21364,-0.635856,-0.190842,-0.747841
1.09773,-0.441282,-1.97657,2.6686,2.16433,-1.72304,-0.0666931,0.109262,0.438732,-0.0372654,-0.348748,-0.936475
-0.505606,-0.422677,1.318,2.23971,-1.63267,0.340649,0.605997,-0.210723,0.0520263,-0.504703,-0.795866,-0.334474
-0.505663,0.309884,-2.5869,1.64677,-0.150053,-2.98868,0.233075,-0.00428465,0.181521,0.840782,-0.296642,0.452868
0.35492,-1.72891,2.81951,1.96742,-0.828683,1.44718,0.0618201,0.139316,0.255289,0.18712,-0.027566,-0.98195
-0.713523,-1.60392,2.07444,-1.61324,-1.792,-2.63803,0.390239,-0.193453,0.296809,0.830893,0.410956,-0.375142
0.25377,0.309767,-2.14296,-1.92585,2.20639,-1.74855,0.212871,0.167972,0.4156,-0.433022,-0.259307,0.86328
0.145631,0.309984,-1.4026,-2.43071,-1.8086,-0.00264456,0.528324,0.187807,0.395605,-0.0762378,-0.993434,-0.0853007
-0.110129,-2.36563,1.59375,-0.916805,3.00262,-0.0832905,0.0832992,0.100604,0.671552,-0.0180876,0.140884,0.989861
-2.15909,-0.0619055,0.0691309,-2.73944,-0.200228,-1.5604,-0.383172,-0.77109,0.199447,-0.22778,-0.337734,0.913265
2.50079,-2.36853,1.43693,-0.306457,-1.81478,-0.326971,-0.0806844,-0.0759887,0.669844,0.246157,0.962816,0.11132
1.32103,-0.0424548,0.42024,2.45333,2.6158,1.91389,0.0821612,0.763678,0.0526351,0.303198,0.505502,-0.807798
1.17185,0.310037,-2.77648,-0.533603,1.37303,0.697999,-0.0571146,0.145505,0.298359,-0.669536,0.345576,-0.657495
1.03507,-0.523549,1.61251,0.713151,0.698923,0.333286,0.139789,0.449305,-0.0242509,-0.275599,0.726792,0.629141
0.0464786,0.309594,-2.57176,-2.66194,1.643,1.9314,0.057023,0.11192,0.241962,0.924811,-0.309285,0.221511
-0.0662407,0.152587,-0.173946,-0.612399,1.23112,-2.56371,0.873593,0.0514378,-0.0433314,0.494883,-0.824327,-0.27491
-1.85233,-2.16148,-1.92166,-1.1263,-0.37517,1.57791,0.257866,0.498738,0.0798919,-0.242577,-0.848122,0.471005
0.167991,-0.541886,2.80845,0.880693,0.357237,-1.03412,0.0933827,0.126545,0.101927,0.447162,0.257176,0.856683
-2.63939,-2.04223,-2.74435,0.144802,-1.56314,-0.818048,0.278997,0.0286898,0.0833067,0.308712,0.949463,0.0567103
-2.35601,0.309682,-3.03112,-0.358727,-1.4292,3.0434,0.0401064,-0.114268,0.21411,0.800144,-0.593135,-0.0892252
-2.43898,0.24351,-0.350673,-0.379988,2.67186,2.35257,-0.575681,-0.630493,-0.0549977,0.471104,0.816796,0.333025
-1.93208,-2.4063,-1.39623,2.72561,-2.22703,2.04428,0.293513,0.467965,0.0885998,0.661573,0.72871,0.176928
-2.38106,0.309585,-2.54015,0.870771,-0.062658,-0.339327,-0.110895,-0.256174,0.249783,-0.133696,-0.0457038,-0.989968
2.97688,-0.955465,-1.36479,-0.298651,-1.9247,-1.54796,-0.0429097,-0.103515,0.805369,-0.482052,0.101835,0.870204
1.20289,-0.338402,1.08558,1.89964,-2.81164,-1.83776,0.129676,0.639894,0.0469891,-0.165489,-0.191681,0.967405
-0.0548289,0.284515,-1.08074,1.35719,0.562074,-2.27069,0.636936,0.0743567,0.170069,0.0356744,-0.345761,-0.937644
-0.0345384,0.309646,-1.98435,-1.12337,-2.38888,-0.688958,0.399515,0.095411,0.438907,-0.334372,-0.516455,0.788333
-0.449516,0.197008,-0.244897,1.21457,1.3647,-2.72299,0.697301,-0.21523,-0.0124688,-0.659008,-0.675022,-0.331744
-1.99966,-0.174487,-0.456759,1.3021,1.87661,2.10114,-0.181997,-0.660503,0.320289,-0.612072,-0.178627,0.770364
1.06309,-0.21371,0.796142,2.06694,0.198363,-2.2803,0.244052,0.66318,0.0469502,-0.335773,-0.867594,0.366792
0.959107,0.31009,-0.619274,-1.97726,-2.59206,-0.502103,0.398646,0.758401,0.140928,0.301737,-0.367083,0.879889
0.960933,0.309798,-2.48509,0.554703,-1.61725,-2.50415,0.0688166,0.28906,0.28704,-0.316529,0.948552,-0.00765006
0.843315,-2.19845,-3.07552,-2.84914,-0.27365,1.72601,-0.0479071,0.110333,0.126317,-0.690865,-0.713087,-0.119218
1.41426,-0.457003,-1.52704,-1.88259,2.63372,0.0772638,-0.0827014,0.176144,0.706769,-0.57261,-0.51793,-0.635505
2.28424,-0.565961,1.76696,-3.12633,-1.01474,-2.41883,-0.468167,0.374121,-0.01582,-0.797662,-0.051745,0.600881
1.85507,-0.291049,0.7259,-1.10706,-2.1231,2.99227,-0.335256,0.758215,-0.0281883,-0.668225,-0.714675,-0.206673
1.41491,0.309924,-2.80112,-2.0204,-1.68325,0.734119,-0.107852,0.0167808,0.215924,0.828128,0.517561,-0.215252
0.190729,-1.55822,-2.7837,1.68665,1.46408,-1.34231,-0.111449,0.0896477,0.232163,0.425225,0.311471,0.849806
-0.489051,0.309793,-1.61392,-0.513032,-0.717677,2.53251,0.580881,-0.185483,0.361061,-0.369433,0.807597,0.459682
